amount,balance,currency,hour,description,recentTxCount,isFraud
44.88,6644.71,RON,18,subscription,2,0
47.97,5936.91,USD,8,transfer,2,0
70.28,5028.7,RON,16,bills,2,0
56.49,5855.07,RON,15,transfer,4,0
8.47,4601.77,RON,8,subscription,0,0
162.52,8116.22,EUR,12,subscription,1,0
87.38,2276.48,RON,16,bills,2,0
234.69,6812.75,EUR,7,bills,3,0
78.94,3658.37,USD,7,payment,3,0
35.8,1523.16,EUR,7,shopping,1,0
31.43,4809.73,USD,7,bills,4,0
34.86,8587.66,RON,6,transfer,2,0
743.83,3912.1,USD,10,subscription,2,0
44.92,3225.85,EUR,17,transfer,2,0
122.22,4525.78,RON,10,payment,1,0
192.83,5439.59,RON,7,shopping,3,0
13.17,5009.69,RON,18,subscription,2,0
135.6,4849.54,RON,6,payment,1,0
92.59,6555.82,RON,20,subscription,2,0
37.68,6163.25,RON,19,payment,3,0
54.82,7576.64,EUR,19,bills,6,0
238.62,4171.84,RON,10,payment,1,0
156.62,4481.14,RON,12,bills,2,0
98.76,4588.53,RON,15,subscription,5,0
29.58,3128.34,RON,6,bills,2,0
123.75,5986.3,RON,12,bills,0,0
345.58,4672.15,RON,20,transfer,2,0
193.22,6020.97,RON,18,bills,1,0
7.05,4095.02,EUR,7,transfer,0,0
275.0,7158.36,RON,9,bills,2,0
80.42,6265.46,RON,13,payment,3,0
129.71,2716.89,EUR,15,shopping,3,0
97.47,3253.78,RON,11,payment,2,0
34.77,6241.92,RON,15,payment,2,0
391.33,6937.05,RON,21,shopping,2,0
231.11,4833.55,EUR,7,shopping,2,0
91.44,4048.22,RON,20,transfer,2,0
461.72,2368.06,RON,14,bills,5,0
49.58,5301.36,RON,8,payment,2,0
7.12,7803.7,RON,20,subscription,3,0
355.3,6760.11,RON,12,subscription,3,0
282.73,8342.75,EUR,14,shopping,1,0
3.22,8114.29,RON,12,bills,3,0
4833.39,2560.92,EUR,2,bonus,5,1
27.36,5394.03,EUR,20,shopping,5,0
16.3,1715.64,EUR,14,bills,0,0
138.3,5528.89,USD,9,subscription,3,0
90.61,2985.98,RON,20,payment,2,0
1570.46,3392.15,RON,21,bills,2,0
751.25,6404.94,USD,20,bills,3,0
174.68,7314.73,EUR,13,bills,1,0
22.77,6084.43,RON,15,bills,0,0
77.55,4891.12,USD,13,bills,5,0
335.82,4416.89,EUR,10,transfer,1,0
387.49,6656.25,RON,20,transfer,1,0
153.72,4122.29,RON,21,shopping,1,0
144.62,2491.27,RON,11,payment,1,0
355.48,7023.31,RON,14,transfer,2,0
351.24,5024.53,RON,14,subscription,2,0
555.13,5990.52,RON,9,bills,3,0
63.75,6304.67,RON,13,subscription,3,0
407.13,7136.94,EUR,15,bills,0,0
437.98,4628.97,RON,8,transfer,1,0
77.23,3865.88,RON,20,shopping,0,0
140.51,2752.19,RON,14,payment,2,0
295.23,6370.26,RON,6,transfer,4,0
71.83,5979.9,EUR,8,payment,2,0
193.99,6304.78,EUR,17,transfer,1,0
137.24,4364.14,RON,8,shopping,3,0
176.09,2944.7,EUR,14,bills,1,0
441.36,7664.88,RON,20,shopping,2,0
112.37,5586.77,EUR,16,payment,1,0
388.93,4077.22,RON,17,bills,0,0
13.41,5368.56,EUR,19,subscription,1,0
243.8,5106.12,RON,9,bills,2,0
17.01,6869.05,EUR,17,transfer,1,0
540.86,6843.95,RON,21,bills,2,0
176.5,5668.45,USD,6,shopping,2,0
140.14,6133.92,RON,20,bills,0,0
12.56,6868.57,RON,7,payment,0,0
22.04,3961.63,USD,11,transfer,1,0
149.06,1852.46,RON,16,subscription,1,0
41.71,5996.7,EUR,21,bills,2,0
3.44,3681.6,RON,20,bills,0,0
86.47,4857.65,EUR,19,bills,0,0
113.28,5682.48,USD,18,shopping,2,0
630.78,3726.36,RON,12,shopping,3,0
48.37,2648.79,EUR,12,subscription,1,0
1091.21,5254.49,RON,14,transfer,1,0
6.92,6599.7,USD,10,shopping,6,0
393.54,2682.53,RON,10,subscription,3,0
46.51,5259.8,RON,6,shopping,1,0
24.63,6280.24,RON,10,transfer,1,0
65.25,8267.07,RON,13,subscription,1,0
186.76,6859.14,EUR,12,payment,1,0
5670.13,2734.18,USD,3,unknown,7,1
1058.03,8186.95,RON,15,shopping,2,0
187.81,2598.16,RON,15,transfer,0,0
1.04,3332.96,RON,13,transfer,1,0
381.3,4536.87,RON,18,transfer,2,0
364.26,3347.02,RON,7,transfer,5,0
206.94,7688.1,EUR,15,subscription,2,0
10.8,4962.54,EUR,21,transfer,1,0
165.3,6490.63,RON,21,subscription,1,0
211.77,5613.43,EUR,17,bills,1,0
29.92,4674.08,EUR,7,transfer,0,0
426.44,3727.52,RON,21,subscription,1,0
142.67,4810.8,USD,17,bills,2,0
78.22,4380.96,EUR,19,bills,2,0
314.02,5603.22,USD,12,payment,0,0
85.01,4414.38,EUR,13,payment,3,0
273.47,3937.17,RON,19,payment,3,0
123.58,3559.69,USD,18,payment,1,0
103.32,2698.53,EUR,11,subscription,3,0
293.26,7098.51,RON,7,subscription,1,0
260.52,5577.01,RON,13,bills,0,0
178.99,4405.45,USD,18,subscription,4,0
581.27,7324.02,EUR,17,subscription,1,0
438.02,5396.86,RON,20,transfer,3,0
399.69,4803.82,RON,11,shopping,4,0
78.77,7668.45,RON,13,payment,4,0
291.49,6361.02,RON,18,payment,1,0
82.48,5141.91,USD,12,transfer,2,0
462.62,1367.81,RON,9,shopping,3,0
148.81,4525.6,RON,13,bills,2,0
0.68,4696.49,RON,10,bills,1,0
26.84,5314.36,RON,6,bills,2,0
440.34,3775.98,EUR,21,bills,1,0
283.11,2408.32,EUR,10,bills,0,0
393.83,2493.55,EUR,14,bills,3,0
327.18,6995.01,USD,9,shopping,5,0
324.69,3671.56,RON,9,subscription,2,0
68.52,6152.13,RON,18,shopping,2,0
198.58,8226.65,RON,19,transfer,3,0
170.37,6685.36,USD,11,payment,2,0
209.49,4680.94,RON,21,subscription,0,0
222.37,3695.1,RON,7,payment,1,0
224.47,1495.89,USD,16,shopping,1,0
45.61,5431.54,RON,13,payment,2,0
5534.87,1718.52,USD,2,lottery,6,1
2.07,5249.36,EUR,6,shopping,0,0
47.31,6352.55,EUR,20,payment,3,0
159.31,5125.97,RON,9,transfer,1,0
144.9,2711.38,RON,19,transfer,2,0
18.93,3467.27,RON,17,subscription,1,0
174.51,4573.22,RON,16,transfer,0,0
3419.18,856.86,EUR,4,crypto,5,1
100.22,6511.56,RON,20,subscription,3,0
120.85,5719.02,RON,12,shopping,2,0
463.01,2817.86,RON,19,shopping,1,0
738.65,3312.05,RON,12,transfer,3,0
233.86,5886.16,RON,15,payment,1,0
40.4,3237.02,USD,20,payment,4,0
81.7,4994.49,EUR,9,payment,2,0
181.92,4200.77,EUR,19,payment,0,0
397.69,6151.25,RON,10,transfer,3,0
862.39,4161.44,RON,15,shopping,0,0
131.49,4707.27,RON,21,payment,1,0
187.56,5750.61,RON,6,subscription,2,0
213.0,2616.61,EUR,21,shopping,4,0
61.96,4696.66,EUR,9,transfer,3,0
11.07,5803.42,RON,19,bills,2,0
828.41,4145.26,RON,21,bills,2,0
1028.18,4626.55,RON,8,payment,0,0
20.01,6002.32,EUR,10,payment,4,0
226.14,7304.17,RON,20,payment,1,0
56.69,2947.67,RON,14,payment,1,0
4706.91,1493.17,EUR,1,crypto,6,1
4.93,7137.71,USD,14,transfer,0,0
173.84,3265.94,RON,20,bills,1,0
37.54,5890.16,EUR,10,subscription,1,0
204.1,4014.74,RON,9,transfer,3,0
261.14,2751.56,RON,17,bills,3,0
15.41,4498.22,RON,9,transfer,1,0
377.44,5350.24,RON,17,payment,3,0
117.81,4915.12,RON,7,transfer,2,0
55.87,4961.87,EUR,15,transfer,2,0
100.74,5930.56,RON,7,payment,1,0
15.0,6400.09,RON,13,bills,0,0
41.2,5038.83,USD,7,bills,1,0
251.29,7290.15,RON,14,bills,2,0
98.87,6456.6,RON,15,transfer,0,0
1.64,5528.5,RON,6,bills,1,0
913.34,6637.01,RON,16,transfer,3,0
337.75,3825.47,RON,11,shopping,4,0
454.01,4969.85,RON,10,transfer,1,0
384.6,6663.05,RON,21,subscription,3,0
339.23,5079.98,EUR,17,shopping,4,0
2.17,6125.52,RON,6,payment,0,0
302.49,4743.77,USD,17,shopping,3,0
21.99,7527.78,RON,9,payment,1,0
79.47,7271.98,EUR,14,transfer,2,0
354.92,3753.72,RON,14,payment,2,0
34.35,4277.51,RON,7,transfer,2,0
130.22,4797.86,RON,14,bills,5,0
115.81,4757.21,EUR,20,transfer,6,0
4907.17,937.5,EUR,3,crypto,8,1
682.3,6186.76,RON,6,transfer,1,0
544.88,2511.93,USD,19,shopping,0,0
39.55,3150.51,EUR,17,transfer,4,0
43.56,4401.25,RON,7,transfer,0,0
194.1,3806.6,RON,17,payment,3,0
339.73,7520.94,RON,14,transfer,4,0
99.31,6065.68,RON,11,bills,2,0
4725.25,2407.24,EUR,3,crypto,6,1
44.38,2875.25,USD,8,shopping,1,0
429.46,4616.9,EUR,13,shopping,2,0
15.29,3752.26,RON,16,shopping,1,0
445.61,5326.85,USD,11,transfer,2,0
4089.87,1422.2,RON,2,unknown,5,1
457.1,2942.23,EUR,10,shopping,2,0
2.59,7100.73,RON,8,bills,3,0
266.79,4086.41,USD,18,subscription,4,0
129.84,5376.21,RON,12,transfer,1,0
1036.41,4963.63,RON,15,shopping,2,0
3.98,5343.23,RON,15,subscription,1,0
3504.1,1559.99,EUR,2,crypto,5,1
371.71,3658.62,RON,7,subscription,1,0
49.85,4808.77,RON,9,bills,0,0
61.83,4854.15,RON,15,bills,2,0
53.71,5922.23,RON,7,subscription,5,0
836.66,5310.95,USD,21,payment,2,0
203.89,6826.77,USD,9,shopping,2,0
546.37,4587.09,RON,20,transfer,3,0
309.65,7681.7,USD,18,subscription,1,0
19.09,7027.43,RON,14,transfer,2,0
480.76,-66.33,RON,20,subscription,4,0
96.79,4067.06,RON,20,transfer,2,0
112.64,4824.11,RON,15,payment,4,0
94.86,3586.91,RON,6,payment,3,0
311.19,6310.68,USD,8,shopping,2,0
68.34,3833.76,RON,21,payment,1,0
158.1,5141.01,RON,17,subscription,3,0
160.11,2619.53,RON,13,transfer,2,0
122.2,333.2,RON,14,shopping,3,0
24.32,4636.81,RON,9,transfer,4,0
165.62,2852.35,RON,15,shopping,1,0
1.26,4080.12,RON,17,subscription,1,0
36.7,5893.88,EUR,12,transfer,4,0
366.03,5005.28,RON,18,bills,4,0
203.56,7142.66,RON,8,transfer,3,0
75.45,3855.76,RON,13,shopping,1,0
13.33,5310.11,RON,18,bills,3,0
588.16,5309.35,USD,21,transfer,1,0
437.37,4682.65,RON,17,bills,3,0
1.73,6348.45,RON,7,bills,2,0
250.16,4801.74,EUR,6,payment,2,0
21.36,4222.94,RON,21,bills,0,0
344.17,3976.69,RON,18,subscription,2,0
589.26,4484.71,RON,19,subscription,2,0
462.81,3858.65,USD,9,transfer,0,0
49.08,5421.61,RON,15,bills,2,0
5698.76,1637.62,RON,4,urgent transfer,8,1
4.75,6078.34,RON,16,transfer,2,0
416.28,5880.87,RON,9,shopping,3,0
4411.3,3586.76,EUR,3,crypto,8,1
226.59,6327.8,EUR,16,transfer,4,0
141.4,3753.49,RON,10,subscription,0,0
231.44,5281.03,RON,11,subscription,1,0
651.08,7809.26,RON,14,bills,1,0
145.72,3334.35,RON,17,subscription,0,0
5296.91,2032.18,USD,3,crypto,7,1
349.79,6226.98,RON,21,subscription,2,0
37.16,7111.03,RON,12,shopping,3,0
336.27,5002.11,RON,16,subscription,0,0
342.99,8522.74,RON,17,shopping,2,0
129.32,5219.31,EUR,11,subscription,1,0
868.52,5336.09,EUR,20,payment,2,0
26.63,5084.71,EUR,17,payment,2,0
193.98,6607.64,RON,14,transfer,1,0
118.21,5440.38,RON,10,bills,3,0
188.21,4281.55,RON,15,shopping,4,0
275.96,5784.05,RON,11,payment,1,0
18.99,6184.73,EUR,20,bills,1,0
865.42,5308.31,EUR,11,shopping,1,0
376.32,5221.11,EUR,8,transfer,3,0
258.31,4152.89,RON,13,subscription,3,0
198.07,5035.99,RON,7,shopping,6,0
103.6,2261.51,RON,15,bills,6,0
172.04,5493.78,RON,20,shopping,1,0
168.16,3384.44,EUR,11,subscription,0,0
190.18,7005.29,RON,8,shopping,4,0
66.35,5190.82,EUR,19,transfer,1,0
22.12,5087.01,RON,10,payment,2,0
312.2,6008.99,EUR,13,shopping,1,0
233.47,4950.28,EUR,8,subscription,1,0
118.11,3146.75,RON,10,shopping,1,0
20.28,5383.22,EUR,7,bills,3,0
180.06,5230.6,RON,15,bills,3,0
426.73,954.24,EUR,15,transfer,3,0
127.97,5836.38,RON,15,shopping,0,0
281.69,4924.43,RON,13,payment,1,0
275.88,7151.53,RON,20,payment,0,0
56.43,2637.38,RON,9,bills,1,0
188.9,5754.81,RON,15,bills,1,0
50.35,5268.57,RON,10,bills,2,0
26.73,3834.08,RON,12,payment,2,0
5.7,5092.62,USD,6,shopping,2,0
301.46,2034.42,EUR,20,subscription,3,0
72.24,5673.97,EUR,14,transfer,2,0
6825.37,3220.84,EUR,1,urgent transfer,9,1
225.08,4099.08,RON,10,transfer,4,0
356.49,2247.46,EUR,7,payment,0,0
9.58,3457.09,USD,15,bills,2,0
3611.12,1837.09,EUR,4,unknown,7,1
414.83,4744.89,EUR,9,subscription,0,0
2.03,4161.26,USD,10,payment,2,0
28.69,7486.26,RON,7,payment,1,0
138.79,437.38,RON,14,transfer,3,0
495.53,3706.93,RON,7,subscription,2,0
86.17,4945.13,RON,7,transfer,2,0
175.8,5868.46,EUR,9,bills,3,0
14.42,4514.75,RON,16,subscription,3,0
261.59,1355.66,EUR,7,shopping,2,0
407.77,4680.3,RON,9,transfer,1,0
652.93,5395.67,EUR,17,shopping,2,0
99.64,4658.85,USD,20,subscription,1,0
131.57,5210.58,RON,19,bills,3,0
44.4,6952.66,EUR,8,transfer,1,0
1470.34,4140.37,RON,6,shopping,1,0
354.83,3343.53,EUR,18,bills,1,0
730.96,4496.86,RON,19,subscription,1,0
229.99,6930.0,RON,11,bills,3,0
288.48,4662.35,RON,10,subscription,3,0
72.86,5880.16,RON,16,payment,0,0
82.51,3584.28,EUR,11,shopping,3,0
45.25,3932.51,RON,20,transfer,2,0
24.48,4829.19,RON,16,shopping,3,0
254.23,3141.58,RON,20,payment,4,0
317.32,4677.89,RON,18,transfer,3,0
72.94,5064.81,RON,8,transfer,1,0
28.97,2955.97,RON,9,transfer,2,0
387.51,4491.27,RON,9,subscription,3,0
72.98,5304.59,RON,6,transfer,3,0
183.36,5016.31,RON,10,bills,2,0
52.42,961.82,EUR,16,transfer,1,0
127.56,5309.15,RON,11,transfer,1,0
376.15,6065.5,RON,21,bills,3,0
7.53,4499.4,RON,19,payment,2,0
78.84,5910.19,EUR,14,payment,1,0
445.66,5108.9,RON,18,payment,2,0
220.44,5360.94,RON,21,subscription,2,0
5107.14,3660.73,EUR,2,unknown,2,1
360.29,5137.83,RON,21,transfer,5,0
4.72,5390.65,RON,11,shopping,0,0
142.81,3127.71,RON,16,transfer,2,0
4067.09,2940.79,USD,1,unknown,5,1
131.78,5772.44,USD,12,transfer,1,0
43.11,3072.86,RON,15,subscription,2,0
122.32,6291.5,RON,10,payment,2,0
254.0,4932.36,EUR,19,payment,3,0
16.23,4010.1,EUR,9,shopping,1,0
417.52,5319.8,RON,12,transfer,0,0
208.23,291.4,RON,20,transfer,2,0
65.4,3893.77,RON,20,payment,0,0
294.46,3390.54,RON,21,shopping,1,0
13.64,3843.93,RON,9,subscription,3,0
128.08,4532.96,RON,13,subscription,3,0
13.47,5639.82,RON,13,transfer,2,0
574.22,3595.45,EUR,11,subscription,2,0
634.93,5739.8,RON,10,payment,2,0
323.01,3506.09,USD,15,payment,4,0
36.79,3594.09,USD,13,bills,2,0
4942.02,3247.36,EUR,0,crypto,7,1
211.62,4404.36,USD,12,transfer,2,0
460.71,5427.99,RON,8,bills,1,0
0.19,3665.96,USD,18,payment,1,0
127.41,7191.49,USD,13,bills,1,0
4728.32,1521.41,EUR,2,unknown,10,1
3.32,4728.8,RON,8,subscription,4,0
82.36,6753.61,USD,13,payment,0,0
267.35,6611.2,RON,7,shopping,0,0
507.6,4990.64,RON,8,shopping,0,0
94.86,5111.33,EUR,18,shopping,3,0
201.85,8845.8,USD,6,shopping,2,0
47.95,6164.49,RON,14,transfer,3,0
59.13,3488.97,RON,12,transfer,0,0
97.82,7200.84,RON,7,shopping,3,0
137.03,4451.27,RON,11,bills,2,0
123.76,2803.45,EUR,8,transfer,2,0
329.55,2387.99,EUR,7,transfer,0,0
12.67,4254.76,EUR,18,bills,2,0
466.57,5196.15,RON,12,subscription,1,0
88.77,2821.96,EUR,7,payment,0,0
4.74,4181.77,RON,21,shopping,2,0
14.74,6283.51,RON,16,subscription,0,0
215.72,4029.85,RON,19,bills,3,0
64.9,4321.64,RON,21,shopping,2,0
4167.07,2233.85,EUR,1,urgent transfer,10,1
647.99,6115.06,USD,12,payment,5,0
4227.07,2514.77,EUR,3,unknown,8,1
380.74,4587.82,USD,16,payment,0,0
372.21,4673.08,EUR,8,payment,1,0
239.1,6740.53,EUR,13,shopping,4,0
429.29,3819.42,RON,11,transfer,1,0
200.28,3174.56,RON,15,transfer,2,0
49.84,5539.09,EUR,9,payment,1,0
100.7,3141.93,EUR,21,shopping,1,0
77.74,4178.69,USD,14,transfer,2,0
0.44,7966.99,EUR,10,payment,1,0
17.01,5857.89,RON,13,transfer,2,0
77.97,6206.68,RON,18,bills,5,0
938.91,7069.98,RON,18,transfer,3,0
361.6,5837.2,EUR,8,payment,1,0
252.5,4014.22,EUR,18,shopping,0,0
165.09,4713.9,EUR,7,shopping,4,0
34.46,5310.76,RON,8,shopping,2,0
406.1,2624.59,RON,20,transfer,1,0
19.86,2995.13,RON,11,transfer,2,0
254.73,4487.82,RON,17,payment,4,0
845.79,5650.76,USD,17,subscription,2,0
59.71,5120.72,USD,13,bills,0,0
30.21,7574.57,RON,15,subscription,4,0
243.95,5307.31,RON,19,subscription,2,0
46.46,3024.11,RON,14,transfer,2,0
58.26,3271.46,RON,20,bills,1,0
5151.58,1436.7,USD,1,unknown,9,1
88.25,5573.47,EUR,11,subscription,1,0
70.37,2808.56,RON,19,shopping,2,0
229.44,2561.33,RON,21,shopping,1,0
44.06,6975.97,USD,10,bills,1,0
201.75,6259.88,EUR,10,payment,2,0
268.69,7065.26,RON,21,subscription,1,0
646.3,5265.41,RON,10,bills,2,0
34.37,5171.98,RON,19,payment,2,0
85.36,4737.61,RON,6,transfer,0,0
213.55,3057.14,EUR,18,subscription,1,0
4956.93,1672.94,USD,1,bonus,2,1
468.22,8946.44,RON,11,subscription,1,0
12.64,2586.91,EUR,9,payment,6,0
214.9,8261.45,RON,10,shopping,4,0
239.99,3316.65,USD,15,subscription,0,0
2660.41,4202.76,EUR,1,crypto,6,1
101.4,3563.72,RON,14,subscription,1,0
0.88,5371.92,RON,12,subscription,7,0
105.07,4381.36,RON,10,bills,5,0
59.55,6675.1,USD,8,subscription,1,0
216.03,4000.56,RON,15,bills,0,0
33.63,5158.0,RON,15,transfer,4,0
202.81,3982.24,RON,11,shopping,2,0
172.51,4706.31,RON,19,shopping,1,0
121.52,4499.91,RON,9,subscription,3,0
42.22,2739.52,RON,20,payment,4,0
164.65,5927.16,RON,21,payment,2,0
431.26,7059.81,RON,7,bills,1,0
8.54,4649.35,EUR,14,transfer,2,0
174.35,5072.2,RON,17,shopping,3,0
21.98,6082.16,RON,17,transfer,1,0
226.07,2672.16,RON,13,shopping,2,0
1385.67,4254.43,RON,11,bills,3,0
690.78,7578.95,RON,7,bills,2,0
16.0,5475.8,RON,17,payment,3,0
178.74,6074.89,RON,11,subscription,1,0
738.26,3439.69,RON,6,transfer,2,0
153.23,4923.81,RON,8,shopping,0,0
